name,lat,lon,acres
Superior,47.41517,-90.6075,1625839.0
Lake of the Woods (MN),49.05264,-94.95467,305576.3
Red,48.03225,-94.91533,283813.5
Mille Lacs,46.2424,-93.64617,128250.0
Leech,47.16115,-94.40833,103443.8
Winnibigoshish,47.44141,-94.19754,56471.4
Rainy,48.58597,-93.01399,44591.2
Vermilion,47.88297,-92.39742,39272.3
Kabetogama,48.467,-92.98601,24034.0
Saganaga,48.23416,-90.9129,18766.5
Cass,47.4227,-94.54776,15958.3
Minnetonka,44.93258,-93.59748,14205.5
Otter Tail,46.39913,-95.6616,14078.6
Basswood,48.05278,-91.63056,14070.7
Lac la Croix,48.31734,-92.11729,13661.5
Namakan,48.44223,-92.66165,11755.4
Pelican,48.06193,-92.90587,11546.3
Gull,46.44627,-94.35111,10010.0
Bowstring,47.53717,-93.90719,9528.1
Swan,44.30816,-94.26078,8884.4
Pelican,46.57601,-94.17596,8367.4
Minnewaska,45.61788,-95.4506,8050.3
Island Lake Reservoir,47.01672,-92.18196,8000.5
Whitefish,46.6915,-94.22064,7714.2
Dead,46.47542,-95.76114,7545.7
Trout,47.96492,-92.31713,7425.4
Burntside,47.93573,-91.98255,7313.9
Nett,48.11422,-93.11114,7277.0
Birch,47.74971,-91.84459,7073.8
Saganaga (1-8) (MN),48.21227,-90.92035,6985.3
Bemidji-Stump,47.50542,-94.84631,6918.8
Thief,48.49024,-95.8901,6896.3
Pokegama,47.18588,-93.58001,6721.3
Osakis,45.90315,-95.11682,6389.3
Lida,46.5752,-95.97134,6299.8
North Long,46.43836,-94.24155,6190.3
Big Stone,45.40952,-96.60471,6152.0
Big Sandy,46.75994,-93.28597,6124.9
Miltona,46.04087,-95.36871,5731.0
Traverse,45.70224,-96.72561,5683.0
West Battle,46.29477,-95.65892,5615.0
Green,45.25232,-94.90529,5569.0
Woman,46.95143,-94.28019,5519.6
Rush,46.48696,-95.52908,5275.7
Crooked,48.1952,-91.80508,5229.7
Ten Mile,46.97084,-94.57763,5080.4
Sand Point,48.37688,-92.49218,4855.3
Pike Bay,47.35425,-94.5707,4756.4
Big Pine,46.60906,-95.49513,4728.2
Snowbank,47.98819,-91.41866,4654.8
Whiteface Reservoir,47.30392,-92.16767,4567.5
Star,46.52132,-95.81381,4485.9
Marsh,45.19607,-96.15015,4461.9
Ida,45.99026,-95.41822,4445.3
Ball Club,47.35757,-93.94337,4335.3
Brule,47.94036,-90.68235,4326.7
Deer,47.37848,-93.66197,4093.5
Christina,46.09054,-95.73633,3971.2
Pelican,46.70142,-96.02343,3961.8
Sea Gull,48.1323,-90.92719,3957.7
Reno,45.73959,-95.42171,3808.6
Height of Land,46.89133,-95.60626,3794.8
Pelican,45.22934,-93.76109,3765.5
Pelican,46.05769,-95.8023,3760.6
Lizzie,46.62892,-96.00711,3750.5
Knife,48.09832,-91.18506,3711.6
Rice,46.51223,-93.37348,3683.5
Big Cormorant,46.76719,-96.05799,3657.1
Big,47.50659,-94.62068,3598.0
Sand,47.61611,-94.00827,3579.3
Shetek,44.11903,-95.70056,3462.2
Boy,47.10465,-94.14878,3307.7
Boulder,47.06359,-92.17387,3259.7
Fish Lake Flowage,46.9442,-92.26444,3258.5
White Iron,47.87267,-91.7936,3237.5
Clearwater,45.30448,-94.1194,3186.9
Shell,46.94609,-95.44706,3147.3
Island,47.81762,-94.24031,3108.1
Koronis,45.33566,-94.70713,3096.5
Rush,45.6875,-93.06843,3087.9
Waconia,44.86869,-93.7839,3080.3
Detroit,46.78934,-95.83159,3067.1
Crane,48.28894,-92.47631,2920.6
Round,47.61851,-94.16559,2860.2
Insula,47.91549,-91.289,2840.0
Cut Foot Sioux,47.50526,-94.07978,2771.1
Big Kandiyohi,44.99448,-94.9383,2729.8
Bass,47.3189,-93.65308,2715.1
Blackduck,47.73248,-94.6169,2711.2
Alexander,46.20751,-94.5416,2708.8
Benton,44.29171,-96.24055,2699.5
Albert Lea,43.63025,-93.31303,2669.2
Edward,46.50986,-94.16026,2627.9
Carlos,45.96533,-95.35912,2605.1
Clitherall,46.25041,-95.66667,2539.8
Plantagenet,47.38998,-94.92456,2530.8
Swan,47.30018,-93.18284,2455.5
Mary,45.82664,-95.47822,2450.4
Washington,45.06948,-94.37586,2438.1
Kabekona,47.16357,-94.75893,2433.4
White Bear,45.07731,-92.98451,2427.7
Wild Rice,46.89382,-92.18278,2372.4
Bear Island,47.77479,-91.97727,2362.5
Minnewawa,46.70869,-93.26364,2351.3
Shagawa,47.91538,-91.883,2344.5
Norway,45.31972,-95.12111,2338.8
Bay,46.39025,-93.85546,2329.9
Emily,45.51634,-95.64641,2316.3
Jefferson,44.27206,-93.78516,2297.8
Elysian,44.17275,-93.69065,2294.2
Monongalia Lake,45.32849,-94.93966,2290.4
Forest,45.2736,-92.94895,2270.9
Fall,47.94977,-91.74245,2258.5
Gull,47.66867,-94.72083,2255.6
Natures,47.65395,-94.11617,2248.6
Big McDonald,46.57858,-95.76978,2242.0
Wabana,47.42197,-93.5227,2221.2
Puposky,47.68995,-94.93089,2177.2
Gunflint,48.09615,-90.69439,2166.4
Sauk,45.7848,-94.93597,2125.7
Turtle,47.62734,-93.70939,2125.6
Pine,48.0624,-90.16443,2122.3
Big Birch,45.77879,-94.74947,2106.5
Potato,47.0023,-95.05243,2096.1
Little Pine,46.63472,-95.55642,2079.5
Tamarack,46.92479,-95.67365,2048.8
Elm Lake WMA,48.27235,-95.93876,2048.3
Greenwood,48.00152,-90.17299,2042.7
Freeborn,43.74395,-93.5662,2034.1
Big Rice,46.9938,-93.93365,2030.0
Lower Rice,47.35177,-95.4688,2018.4
Loon,48.24629,-92.26939,2016.6
Farm Island,46.42201,-93.77193,2005.2
White Earth,47.12851,-95.75445,1988.9
East Battle,46.29547,-95.54995,1978.2
Artichoke,45.35486,-96.139,1970.8
Long,46.89106,-94.99875,1926.1
Big Rice,47.69536,-92.48888,1917.3
Big,48.07245,-91.99524,1904.0
Geneva,43.79364,-93.27243,1884.3
Minnesota,43.83752,-93.86097,1883.5
Devil Track,47.8235,-90.42382,1876.4
Kitchi,47.49879,-94.51352,1865.0
Trout,47.25978,-93.40472,1862.1
Cedar,44.97505,-94.46344,1860.0
Deer,47.83537,-93.38184,1854.6
Melissa,46.74245,-95.89722,1850.2
Sturgeon,47.67893,-93.05178,1835.6
Pomme de Terre,46.0234,-95.88323,1815.7
Cross Lake Reservoir,46.66453,-94.13014,1815.0
Green,45.34354,-92.9005,1809.5
Le Homme Dieu,45.92866,-95.34889,1801.0
Big Marine,45.21858,-92.85984,1799.2
Hanska,44.14009,-94.61196,1795.0
Flat,46.97452,-95.65439,1789.7
North Turtle,46.30471,-95.80391,1773.2
Cotton,46.88281,-95.69768,1763.2
Wakanda Lake,45.05845,-94.991,1759.7
Steamboat,47.2649,-94.65852,1755.7
Trout,47.46088,-93.55284,1743.4
Turtle River,47.57972,-94.72439,1740.3
Jessie,47.58497,-93.82038,1740.1
Eagles Nest,47.81728,-92.09825,1739.1
Johnson,48.33996,-92.60017,1736.5
Cedar,46.50109,-93.79585,1725.8
Toad,46.86532,-95.4909,1714.6
Sturgeon,46.37873,-92.75705,1705.9
Many Point,47.07619,-95.53693,1700.9
Elbow,48.00829,-92.64659,1695.1
Ocheda,43.57489,-95.58499,1691.3
Kekekabic,48.06559,-91.18643,1688.7
Grand,46.87557,-92.40359,1665.2
Platte,46.16402,-93.9232,1663.4
Round,46.45776,-94.28298,1650.1
Fish Hook,46.957,-95.0642,1642.6
Maple,47.65923,-96.15995,1641.0
Big Sand,47.00134,-94.96575,1638.6
Little Saganaga,48.0343,-91.00147,1627.3
Marion,46.53079,-95.6552,1623.8
Mantrap,47.07058,-94.91271,1617.7
Pine Mountain,46.82367,-94.53323,1617.3
Diamond,45.18337,-94.84131,1609.5
Turtle,47.61778,-94.86774,1606.6
Perent,47.79828,-91.13793,1598.2
Andrusia,47.45482,-94.65235,1595.5
Cannon,44.26559,-93.36007,1593.2
Washburn,46.87026,-93.98885,1590.2
Long,45.2031,-95.03524,1572.9
Buffalo,45.16303,-93.89356,1551.9
Portage,47.34286,-94.30884,1538.6
Iron,48.22894,-91.94978,1531.1
Upper Rice,47.39455,-95.29438,1526.7
Mud,45.79997,-96.60178,1525.6
Pokegama,45.84466,-93.04023,1521.5
Washington,44.2533,-93.87166,1516.1
Rice,45.37428,-94.62098,1513.4
Roosevelt,46.80581,-93.96436,1510.6
Sugar,47.45171,-94.31016,1509.0
Strawberry,47.07148,-95.69992,1497.7
Belle Taine,46.94296,-94.88681,1496.7
Coon,45.30553,-93.16652,1481.2
Alice,47.94218,-91.21677,1469.0
Thomas,47.98943,-91.2377,1465.2
Wolf,46.82416,-95.38595,1459.8
Little Boy,46.94325,-94.19013,1451.7
Madison,44.18951,-93.80174,1447.1
Shamineau,46.25461,-94.60487,1434.0
Ten Mile,46.12571,-95.96657,1427.6
Seven Beaver,47.49912,-91.81142,1414.4
Crystal,46.61497,-95.95051,1412.9
Ensign,48.03748,-91.35853,1411.1
Johanna,45.47165,-95.22158,1399.2
Spider,47.48793,-93.57678,1392.5
Mud,47.25562,-93.96369,1381.7
Split Hand,47.06024,-93.48555,1373.7
Byllesby,44.51586,-92.97651,1368.3
Big Trout,46.7177,-94.1596,1366.3
Lura,43.86612,-94.02325,1358.6
Tetonka,44.23053,-93.60736,1357.8
Stalker,46.20813,-95.8285,1356.8
Thunder,46.95292,-93.97419,1346.9
Clearwater,48.08202,-90.32652,1344.3
High Island,44.66814,-94.21104,1340.3
Lobster,45.87574,-95.52593,1334.3
Prairie,47.3091,-93.53154,1331.1
Greenwood,47.51862,-91.63258,1329.2
Six Mile,47.31145,-94.14205,1323.0
Little McDonald,46.61041,-95.70531,1316.0
Little Rock,45.73174,-94.16874,1310.7
South Long,46.2802,-94.08591,1309.1
